age,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,2020,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160,2161,2162,2163,2164,2165,2166,2167,2168,2169,2170,2171,2172,2173,2174,2175,2176,2177,2178,2179,2180,2181,2182,2183,2184,2185,2186,2187,2188,2189,2190,2191,2192,2193,2194,2195,2196,2197,2198,2199,2200
0,14383791,15266778,18418078,17827184,16547271,18591806,17963157,19353752,17788070,17347565,17695044,17356919,16677054,16179412,15323224,15218156,13730626,14043179,14368955,14563347,13935509,15249809,15325970,15867040,17146447,16826988,18298935,19060645,20514317,25973082,25451203,24037711,25946853,22736341,19586332,19499941,19063741,21799284,19063634,17540717,19339617,18564211,17758286,19752499,20259918,22208985,23233417,23862010,24660557,26062036,24444570,26105080,20959668,23592942,23106155,22559346,26044142,19132096,10559047,12899885,12135959,15464277,17232007,15650810,16295105,16248455,14620318,14550479,12291203,11988057,9530814,9093093,8681708,8295086,7933771,7587562,7284475,6851223,7259954,7349105,7330768,7288489,7240951,7178389,7087236,6945419,6754647,6580840,6386805,6182969,6036895,5903503,5775443,5659151,5544221,5444889,5351567,5258750,5180222,5094026,5009047,4926135,4844557,4744378,4640857,4525503,4403008,4271514,4134930,4001041,3861074,3702703,3559028,3407516,3278170,3133801,2982199,2865124,2757239,2675161,2606792,2549817,2496386,2446093,2398594,2353629,2310951,2269857,2231957,2187775,2141143,2093091,2043805,1993746,1943191,1892761,1843179,1795122,1748441,1703393,1660119,1618000,1576920,1536837,1497656,1459287,1421529,1384296,1347571,1311183,1275214,1239652,1204484,1169714,1135566,1102097,1069458,1037742,1007062,977484,948988,921649,895678,870916,847452,825042,803856,783976,765019,746885,729292,712094,695173,678499,662050,645806,629752,613876,598175,582629,567322,552294,537575,523193,509167,495512,482233,469323,456770,444559,432675,421100,409824,398836,388126,377687,367512,357597,347939,338536,329389,320496,311858,303474,295343,287461,279825,272430,265266,258327,251602,245082,238757,232616,226645,220835,215176,209657,204267,198997,193841,188797,183862,179036,174319,169711,165212,160821,156541,152369,148307,144353,140506,136765,133126,129586,126144,122796,119539,116370,113286,110286,107366,104525,101760,99070,96453,93907,91429
1,15266778,18418078,17827184,16547271,18591806,17963157,19353752,17788070,17347565,17695044,17356919,16677054,16179412,15323224,15218156,13730626,14043179,14368955,14563347,13935509,15249809,15325970,15867040,17146447,16826988,18298935,19060645,20514317,25973082,25451203,24037711,25946853,22736341,19586332,19499941,19063741,21799284,19063634,17540717,19339617,18564211,17758286,19752499,20259918,22208985,23233417,23862010,24660557,26062036,24444570,26105080,20959668,23592942,23106155,22559346,26044142,19132096,10559047,12899885,12135959,15464277,17232007,15650810,16295105,16248455,14620318,14550479,12291203,11600773,14383791,10659133,9527002,9089456,8678235,8291768,7930598,7584527,7281561,6848482,7257050,7346165,7327835,7285574,7238054,7175517,7084401,6942641,6751945,6578208,6384250,6180496,6034480,5901141,5773133,5656887,5542003,5442711,5349426,5256646,5178150,5091988,5007043,4924164,4842619,4742480,4639000,4523693,4401247,4269805,4133276,3999441,3859530,3701222,3557605,3406153,3276859,3132547,2981006,2863978,2756136,2674091,2605749,2548797,2495388,2445115,2397634,2352688,2310027,2268949,2231064,2186900,2140287,2092254,2042987,1992948,1942414,1892004,1842442,1794404,1747741,1702712,1659455,1617352,1576289,1536222,1497057,1458704,1420960,1383743,1347031,1310658,1274704,1239156,1204002,1169246,1135112,1101656,1069030,1037327,1006659,977093,948608,921280,895320,870567,847113,824712,803534,783662,764713,746586,729000,711809,694895,678228,661785,645548,629500,613630,597936,582396,567096,552074,537360,522984,508964,495314,482040,469136,456587,444381,432502,420932,409660,398676,387971,377536,367365,357454,347800,338401,329257,320368,311733,303352,295224,287346,279714,272321,265160,258223,251501,244984,238662,232522,226555,220747,215090,209573,204185,198917,193764,188721,183788,178964,174249,169643,165146,160757,156478,152308,148247,144295,140450,136710,133072,129535,126094,122747,119491,116323,113241,110242,107323,104483,101720,99031,96414,93869
2,18418078,17827184,16547271,18591806,17963157,19353752,17788070,17347565,17695044,17356919,16677054,16179412,15323224,15218156,13730626,14043179,14368955,14563347,13935509,15249809,15325970,15867040,17146447,16826988,18298935,19060645,20514317,25973082,25451203,24037711,25946853,22736341,19586332,19499941,19063741,21799284,19063634,17540717,19339617,18564211,17758286,19752499,20259918,22208985,23233417,23862010,24660557,26062036,24444570,26105080,20959668,23592942,23106155,22559346,26044142,19132096,10559047,12899885,12135959,15464277,17232007,15650810,16295105,16248455,14620318,14550479,12291203,11600773,11228645,15266778,11979666,10655935,9524144,9086729,8675632,8289281,7928219,7582252,7279376,6846428,7254873,7343961,7325637,7283388,7235883,7173365,7082276,6940558,6749919,6576235,6382335,6178642,6032670,5899371,5771401,5655190,5540340,5441078,5347821,5255069,5176596,5090461,5005541,4922687,4841166,4741057,4637609,4522335,4399926,4268524,4132036,3998241,3858372,3700112,3556537,3405131,3275876,3131607,2980112,2863119,2755309,2673289,2604967,2548032,2494639,2444381,2396915,2351982,2309334,2268268,2230395,2186244,2139645,2091626,2042374,1992350,1941831,1891436,1841889,1793866,1747217,1702201,1658957,1616867,1575816,1535761,1496608,1458266,1420534,1383328,1346627,1310265,1274321,1238784,1203641,1168896,1134772,1101325,1068709,1037016,1006357,976800,948324,921004,895051,870306,846859,824464,803293,783427,764483,746362,728782,711596,694686,678024,661586,645354,629312,613446,597757,582221,566925,551908,537199,522827,508811,495166,481895,468995,456450,444248,432372,420806,409537,398556,387855,377423,367255,357346,347695,338299,329158,320272,311640,303261,295136,287260,279630,272239,265080,258146,251426,244910,238590,232453,226487,220681,215026,209510,204124,198857,193705,188665,183733,178911,174197,169592,165096,160709,156431,152262,148203,144252,140408,136669,133032,129496,126056,122710,119455,116288,113207,110209,107291,104452,101689,99001,96385
3,17827184,16547271,18591806,17963157,19353752,17788070,17347565,17695044,17356919,16677054,16179412,15323224,15218156,13730626,14043179,14368955,14563347,13935509,15249809,15325970,15867040,17146447,16826988,18298935,19060645,20514317,25973082,25451203,24037711,25946853,22736341,19586332,19499941,19063741,21799284,19063634,17540717,19339617,18564211,17758286,19752499,20259918,22208985,23233417,23862010,24660557,26062036,24444570,26105080,20959668,23592942,23106155,22559346,26044142,19132096,10559047,12899885,12135959,15464277,17232007,15650810,16295105,16248455,14620318,14550479,12291203,11600773,11228645,9552234,18418078,14376599,11977270,10653804,9522239,9084912,8673897,8287623,7926633,7580736,7277920,6845058,7253422,7342492,7324172,7281932,7234436,7171930,7080860,6939170,6748569,6574919,6381059,6177406,6031463,5898191,5770247,5654059,5539232,5439990,5346752,5254018,5175561,5089443,5004540,4921702,4840198,4740109,4636681,4521431,4399046,4267670,4131210,3997441,3857600,3699372,3555826,3404450,3275221,3130981,2979516,2862546,2754758,2672754,2604446,2547523,2494140,2443892,2396436,2351511,2308872,2267815,2229949,2185807,2139217,2091208,2041966,1991952,1941443,1891058,1841521,1793507,1746867,1701861,1658625,1616544,1575501,1535454,1496308,1457974,1420250,1383051,1346358,1310003,1274067,1238536,1203400,1168662,1134545,1101105,1068496,1036809,1006156,976605,948134,920820,894872,870132,846689,824300,803132,783270,764330,746213,728636,711453,694547,677889,661454,645225,629186,613324,597637,582105,566812,551798,537091,522722,508709,495066,481799,468901,456359,444159,432286,420722,409455,398477,387777,377347,367181,357275,347626,338232,329093,320208,311578,303201,295077,287202,279574,272184,265027,258094,251375,244861,238543,232406,226441,220637,214983,209469,204083,198818,193667,188627,183696,178875,174162,169558,165063,160677,156400,152232,148173,144223,140380,136642,133006,129470,126031,122686,119431,116265,113184,110187,107270,104431,101669,98981
4,16547271,18591806,17963157,19353752,17788070,17347565,17695044,17356919,16677054,16179412,15323224,15218156,13730626,14043179,14368955,14563347,13935509,15249809,15325970,15867040,17146447,16826988,18298935,19060645,20514317,25973082,25451203,24037711,25946853,22736341,19586332,19499941,19063741,21799284,19063634,17540717,19339617,18564211,17758286,19752499,20259918,22208985,23233417,23862010,24660557,26062036,24444570,26105080,20959668,23592942,23106155,22559346,26044142,19132096,10559047,12899885,12135959,15464277,17232007,15650810,16295105,16248455,14620318,14550479,12291203,11600773,11228645,9552234,9046226,17827184,15260671,14373724,11974875,10651673,9520334,9083095,8672162,8285965,7925048,7579219,7276465,6843689,7251972,7341024,7322707,7280475,7232989,7170496,7079443,6937782,6747220,6573604,6379782,6176171,6030257,5897011,5769093,5652928,5538124,5438902,5345682,5252968,5174526,5088425,5003539,4920718,4839230,4739161,4635754,4520527,4398166,4266817,4130383,3996642,3856829,3698632,3555115,3403769,3274566,3130355,2978920,2861973,2754207,2672220,2603925,2547013,2493641,2443404,2395956,2351041,2308410,2267361,2229503,2185370,2138789,2090789,2041557,1991554,1941055,1890680,1841152,1793149,1746518,1701520,1658293,1616221,1575186,1535147,1496009,1457683,1419966,1382774,1346089,1309741,1273812,1238289,1203160,1168428,1134318,1100885,1068282,1036601,1005955,976409,947944,920636,894693,869958,846520,824135,802972,783114,764178,746064,728490,711311,694408,677753,661322,645096,629060,613201,597518,581989,566699,551687,536984,522618,508607,494967,481703,468807,456267,444070,432199,420637,409373,398397,387699,377272,367108,357203,347556,338164,329027,320144,311515,303140,295018,287145,279518,272130,264974,258043,251325,244812,238495,232360,226396,220592,214940,209427,204042,198778,193628,188589,183660,178839,174127,169524,165030,160645,156368,152201,148144,144194,140352,136614,132979,129444,126006,122661,119407,116242,113162,110165,107248,104410,101648
5,18591806,17963157,19353752,17788070,17347565,17695044,17356919,16677054,16179412,15323224,15218156,13730626,14043179,14368955,14563347,13935509,15249809,15325970,15867040,17146447,16826988,18298935,19060645,20514317,25973082,25451203,24037711,25946853,22736341,19586332,19499941,19063741,21799284,19063634,17540717,19339617,18564211,17758286,19752499,20259918,22208985,23233417,23862010,24660557,26062036,24444570,26105080,20959668,23592942,23106155,22559346,26044142,19132096,10559047,12899885,12135959,15464277,17232007,15650810,16295105,16248455,14620318,14550479,12291203,11600773,11228645,9552234,9046226,8162158,16547271,18412552,15259145,14372287,11973677,10650608,9519382,9082186,8671295,8285137,7924255,7578462,7275737,6843005,7251246,7340290,7321975,7279747,7232266,7169779,7078736,6937089,6746545,6572947,6379145,6175553,6029654,5896422,5768516,5652363,5537571,5438358,5345148,5252442,5174009,5087916,5003039,4920226,4838746,4738687,4635290,4520075,4397727,4266390,4129970,3996242,3856443,3698262,3554759,3403429,3274238,3130042,2978622,2861687,2753931,2671952,2603665,2546759,2493392,2443159,2395717,2350806,2308179,2267135,2229280,2185151,2138575,2090580,2041353,1991354,1940861,1890491,1840968,1792969,1746343,1701350,1658127,1616059,1575029,1534994,1495859,1457537,1419824,1382636,1345954,1309610,1273684,1238165,1203039,1168311,1134204,1100775,1068175,1036498,1005854,976312,947850,920544,894604,869871,846435,824052,802892,783035,764101,745989,728417,711240,694339,677685,661256,645032,628997,613140,597458,581930,566642,551632,536930,522566,508556,494918,481654,468760,456222,444026,432156,420595,409332,398357,387661,377234,367071,357168,347521,338130,328994,320112,311484,303110,294988,287116,279490,272103,264948,258017,251300,244788,238471,232336,226374,220570,214918,209406,204021,198758,193609,188570,183641,178821,174110,169507,165013,160629,156353,152186,148129,144180,140338,136601,132966,129431,125993,122649,119395,116230,113150,110154,107237,104400
6,17963157,19353752,17788070,17347565,17695044,17356919,16677054,16179412,15323224,15218156,13730626,14043179,14368955,14563347,13935509,15249809,15325970,15867040,17146447,16826988,18298935,19060645,20514317,25973082,25451203,24037711,25946853,22736341,19586332,19499941,19063741,21799284,19063634,17540717,19339617,18564211,17758286,19752499,20259918,22208985,23233417,23862010,24660557,26062036,24444570,26105080,20959668,23592942,23106155,22559346,26044142,19132096,10559047,12899885,12135959,15464277,17232007,15650810,16295105,16248455,14620318,14550479,12291203,11600773,11228645,9552234,9046226,8162158,7179399,18591806,17823618,18410711,15257619,14370850,11972480,10649543,9518430,9081278,8670428,8284308,7923463,7577704,7275010,6842321,7250521,7339556,7321243,7279019,7231542,7169062,7078028,6936395,6745870,6572290,6378507,6174936,6029051,5895832,5767939,5651798,5537017,5437814,5344613,5251917,5173491,5087407,5002539,4919734,4838262,4738213,4634827,4519623,4397287,4265964,4129557,3995843,3856058,3697892,3554404,3403089,3273911,3129729,2978324,2861401,2753656,2671685,2603405,2546504,2493143,2442915,2395477,2350571,2307948,2266908,2229057,2184933,2138361,2090371,2041149,1991155,1940666,1890302,1840784,1792790,1746169,1701180,1657962,1615897,1574871,1534840,1495710,1457391,1419682,1382498,1345820,1309479,1273557,1238041,1202919,1168194,1134091,1100665,1068068,1036394,1005754,976214,947755,920452,894515,869784,846351,823970,802811,782957,764025,745914,728344,711169,694270,677618,661190,644967,628934,613078,597398,581872,566585,551577,536877,522513,508506,494868,481606,468714,456176,443981,432113,420553,409291,398317,387622,377196,367034,357132,347487,338096,328961,320080,311453,303079,294959,287088,279462,272076,264921,257991,251275,244764,238447,232313,226351,220548,214897,209385,204001,198738,193589,188551,183623,178803,174092,169490,164997,160613,156337,152171,148114,144165,140324,136587,132953,129418,125980,122636,119384,116219,113139,110143,107227
7,19353752,17788070,17347565,17695044,17356919,16677054,16179412,15323224,15218156,13730626,14043179,14368955,14563347,13935509,15249809,15325970,15867040,17146447,16826988,18298935,19060645,20514317,25973082,25451203,24037711,25946853,22736341,19586332,19499941,19063741,21799284,19063634,17540717,19339617,18564211,17758286,19752499,20259918,22208985,23233417,23862010,24660557,26062036,24444570,26105080,20959668,23592942,23106155,22559346,26044142,19132096,10559047,12899885,12135959,15464277,17232007,15650810,16295105,16248455,14620318,14550479,12291203,11600773,11228645,9552234,9046226,8162158,7179399,6818961,17963157,16543961,17821836,18408870,15256094,14369412,11971283,10648478,9517479,9080370,8669561,8283480,7922670,7576946,7274282,6841636,7249796,7338822,7320511,7278291,7230819,7168345,7077320,6935701,6745196,6571632,6377869,6174318,6028448,5895242,5767362,5651233,5536463,5437271,5344079,5251392,5172974,5086899,5002038,4919242,4837778,4737739,4634363,4519171,4396847,4265537,4129144,3995443,3855672,3697522,3554048,3402748,3273583,3129416,2978026,2861115,2753381,2671418,2603144,2546249,2492893,2442671,2395238,2350336,2307718,2266681,2228834,2184714,2138147,2090162,2040945,1990956,1940472,1890113,1840600,1792611,1745994,1701010,1657796,1615736,1574714,1534687,1495560,1457245,1419540,1382360,1345685,1309348,1273430,1237917,1202799,1168078,1133978,1100555,1067962,1036290,1005653,976116,947660,920360,894425,869697,846266,823887,802731,782879,763948,745840,728272,711098,694200,677550,661124,644903,628871,613017,597339,581814,566529,551522,536823,522461,508455,494819,481558,468667,456131,443937,432070,420511,409250,398278,387583,377159,366998,357096,347452,338062,328928,320048,311422,303049,294929,287059,279434,272048,264895,257965,251250,244739,238423,232290,226328,220526,214875,209364,203981,198718,193570,188533,183605,178785,174075,169473,164980,160596,156322,152156,148099,144151,140310,136573,132939,129405,125968,122624,119372,116207,113128,110132
8,17788070,17347565,17695044,17356919,16677054,16179412,15323224,15218156,13730626,14043179,14368955,14563347,13935509,15249809,15325970,15867040,17146447,16826988,18298935,19060645,20514317,25973082,25451203,24037711,25946853,22736341,19586332,19499941,19063741,21799284,19063634,17540717,19339617,18564211,17758286,19752499,20259918,22208985,23233417,23862010,24660557,26062036,24444570,26105080,20959668,23592942,23106155,22559346,26044142,19132096,10559047,12899885,12135959,15464277,17232007,15650810,16295105,16248455,14620318,14550479,12291203,11600773,11228645,9552234,9046226,8162158,7179399,6818961,6019552,19353752,18588087,16542307,17820054,18407029,15254568,14367976,11970086,10647413,9516527,9079462,8668694,8282651,7921878,7576188,7273555,6840952,7249071,7338088,7319778,7277564,7230096,7167628,7076612,6935008,6744521,6570975,6377231,6173701,6027845,5894653,5766786,5650667,5535910,5436727,5343544,5250867,5172457,5086390,5001538,4918750,4837295,4737265,4633900,4518719,4396407,4265110,4128731,3995043,3855286,3697153,3553693,3402408,3273256,3129103,2977729,2860829,2753105,2671151,2602884,2545995,2492644,2442426,2394998,2350101,2307487,2266454,2228611,2184496,2137933,2089953,2040741,1990757,1940278,1889924,1840416,1792431,1745820,1700840,1657630,1615574,1574556,1534533,1495411,1457100,1419398,1382221,1345550,1309217,1273302,1237793,1202678,1167961,1133864,1100445,1067855,1036187,1005552,976019,947565,920268,894336,869610,846181,823805,802651,782800,763872,745765,728199,711027,694131,677482,661057,644838,628808,612956,597279,581756,566472,551467,536769,522409,508404,494770,481510,468620,456085,443892,432026,420469,409209,398238,387544,377121,366961,357061,347417,338029,328895,320016,311391,303019,294900,287030,279406,272021,264868,257939,251224,244715,238400,232267,226306,220504,214854,209343,203960,198698,193550,188514,183586,178768,174058,169456,164964,160580,156306,152141,148084,144137,140296,136560,132926,129392,125955,122612,119360,116195,113117
